order,id,region,municipality,status,checks_completed,checks_total,webcams_found,evidence_file,last_reviewed_at,reviewed_by,notes
17,pt-aveiro-sever-do-vouga,Aveiro,Sever do Vouga,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
18,pt-aveiro-vagos,Aveiro,Vagos,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
19,pt-aveiro-vale-de-cambra,Aveiro,Vale de Cambra,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
20,pt-beja-aljustrel,Beja,Aljustrel,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
21,pt-beja-almodovar,Beja,Almodôvar,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
22,pt-beja-alvito,Beja,Alvito,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
23,pt-beja-barrancos,Beja,Barrancos,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
24,pt-beja-beja,Beja,Beja,review,0,16,0,,,,Current-cycle evidence did not pass all 16 validation checks
25,pt-beja-castro-verde,Beja,Castro Verde,not_started,0,16,0,,,,
26,pt-beja-cuba,Beja,Cuba,not_started,0,16,0,,,,
27,pt-beja-ferreira-do-alentejo,Beja,Ferreira do Alentejo,not_started,0,16,0,,,,
28,pt-beja-mertola,Beja,Mértola,not_started,0,16,0,,,,
29,pt-beja-moura,Beja,Moura,not_started,0,16,0,,,,
30,pt-beja-odemira,Beja,Odemira,not_started,0,16,0,,,,
31,pt-beja-ourique,Beja,Ourique,not_started,0,16,0,,,,
32,pt-beja-serpa,Beja,Serpa,not_started,0,16,0,,,,
33,pt-beja-vidigueira,Beja,Vidigueira,not_started,0,16,0,,,,
34,pt-braga-amares,Braga,Amares,not_started,0,16,0,,,,
35,pt-braga-barcelos,Braga,Barcelos,not_started,0,16,0,,,,
36,pt-braga-braga,Braga,Braga,not_started,0,16,0,,,,
37,pt-braga-cabeceiras-de-basto,Braga,Cabeceiras de Basto,not_started,0,16,0,,,,
38,pt-braga-celorico-de-basto,Braga,Celorico de Basto,not_started,0,16,0,,,,
39,pt-braga-esposende,Braga,Esposende,not_started,0,16,0,,,,
40,pt-braga-fafe,Braga,Fafe,not_started,0,16,0,,,,
41,pt-braga-guimaraes,Braga,Guimarães,not_started,0,16,0,,,,
42,pt-braga-povoa-de-lanhoso,Braga,Póvoa de Lanhoso,not_started,0,16,0,,,,
43,pt-braga-terras-de-bouro,Braga,Terras de Bouro,not_started,0,16,0,,,,
44,pt-braga-vieira-do-minho,Braga,Vieira do Minho,not_started,0,16,0,,,,
45,pt-braga-vila-nova-de-famalicao,Braga,Vila Nova de Famalicão,not_started,0,16,0,,,,
46,pt-braga-vila-verde,Braga,Vila Verde,not_started,0,16,0,,,,
47,pt-braga-vizela,Braga,Vizela,not_started,0,16,0,,,,
48,pt-braganca-alfandega-da-fe,Bragança,Alfândega da Fé,not_started,0,16,0,,,,
49,pt-braganca-braganca,Bragança,Bragança,not_started,0,16,0,,,,
50,pt-braganca-carrazeda-de-ansiaes,Bragança,Carrazeda de Ansiães,not_started,0,16,0,,,,
51,pt-braganca-freixo-de-espada-a-cinta,Bragança,Freixo de Espada à Cinta,not_started,0,16,0,,,,
52,pt-braganca-macedo-de-cavaleiros,Bragança,Macedo de Cavaleiros,not_started,0,16,0,,,,
53,pt-braganca-miranda-do-douro,Bragança,Miranda do Douro,not_started,0,16,0,,,,
54,pt-braganca-mirandela,Bragança,Mirandela,not_started,0,16,0,,,,
55,pt-braganca-mogadouro,Bragança,Mogadouro,not_started,0,16,0,,,,
56,pt-braganca-torre-de-moncorvo,Bragança,Torre de Moncorvo,not_started,0,16,0,,,,
57,pt-braganca-vila-flor,Bragança,Vila Flor,not_started,0,16,0,,,,
58,pt-braganca-vimioso,Bragança,Vimioso,not_started,0,16,0,,,,
59,pt-braganca-vinhais,Bragança,Vinhais,not_started,0,16,0,,,,
60,pt-castelo-branco-belmonte,Castelo Branco,Belmonte,not_started,0,16,0,,,,
61,pt-castelo-branco-castelo-branco,Castelo Branco,Castelo Branco,not_started,0,16,0,,,,
62,pt-castelo-branco-covilha,Castelo Branco,Covilhã,not_started,0,16,0,,,,
63,pt-castelo-branco-fundao,Castelo Branco,Fundão,not_started,0,16,0,,,,
64,pt-castelo-branco-idanha-a-nova,Castelo Branco,Idanha-a-Nova,not_started,0,16,0,,,,
65,pt-castelo-branco-oleiros,Castelo Branco,Oleiros,not_started,0,16,0,,,,
66,pt-castelo-branco-penamacor,Castelo Branco,Penamacor,not_started,0,16,0,,,,
67,pt-castelo-branco-proenca-a-nova,Castelo Branco,Proença-a-Nova,not_started,0,16,0,,,,
68,pt-castelo-branco-serta,Castelo Branco,Sertã,not_started,0,16,0,,,,
69,pt-castelo-branco-vila-de-rei,Castelo Branco,Vila de Rei,not_started,0,16,0,,,,
70,pt-castelo-branco-vila-velha-de-rodao,Castelo Branco,Vila Velha de Ródão,not_started,0,16,0,,,,
71,pt-coimbra-arganil,Coimbra,Arganil,not_started,0,16,0,,,,
72,pt-coimbra-cantanhede,Coimbra,Cantanhede,not_started,0,16,0,,,,
73,pt-coimbra-coimbra,Coimbra,Coimbra,not_started,0,16,0,,,,
74,pt-coimbra-condeixa-a-nova,Coimbra,Condeixa-a-Nova,not_started,0,16,0,,,,
75,pt-coimbra-figueira-da-foz,Coimbra,Figueira da Foz,not_started,0,16,0,,,,
76,pt-coimbra-gois,Coimbra,Góis,not_started,0,16,0,,,,
77,pt-coimbra-lousa,Coimbra,Lousã,not_started,0,16,0,,,,
78,pt-coimbra-mira,Coimbra,Mira,not_started,0,16,0,,,,
79,pt-coimbra-miranda-do-corvo,Coimbra,Miranda do Corvo,not_started,0,16,0,,,,
80,pt-coimbra-montemor-o-velho,Coimbra,Montemor-o-Velho,not_started,0,16,0,,,,
81,pt-coimbra-oliveira-do-hospital,Coimbra,Oliveira do Hospital,not_started,0,16,0,,,,
82,pt-coimbra-pampilhosa-da-serra,Coimbra,Pampilhosa da Serra,not_started,0,16,0,,,,
83,pt-coimbra-penacova,Coimbra,Penacova,not_started,0,16,0,,,,
84,pt-coimbra-penela,Coimbra,Penela,not_started,0,16,0,,,,
85,pt-coimbra-soure,Coimbra,Soure,not_started,0,16,0,,,,
86,pt-coimbra-tabua,Coimbra,Tábua,not_started,0,16,0,,,,
87,pt-coimbra-vila-nova-de-poiares,Coimbra,Vila Nova de Poiares,not_started,0,16,0,,,,
88,pt-evora-alandroal,Évora,Alandroal,not_started,0,16,0,,,,
89,pt-evora-arraiolos,Évora,Arraiolos,not_started,0,16,0,,,,
90,pt-evora-borba,Évora,Borba,not_started,0,16,0,,,,
91,pt-evora-estremoz,Évora,Estremoz,not_started,0,16,0,,,,
92,pt-evora-evora,Évora,Évora,not_started,0,16,0,,,,
93,pt-evora-montemor-o-novo,Évora,Montemor-o-Novo,not_started,0,16,0,,,,
94,pt-evora-mora,Évora,Mora,not_started,0,16,0,,,,
95,pt-evora-mourao,Évora,Mourão,not_started,0,16,0,,,,
96,pt-evora-portel,Évora,Portel,not_started,0,16,0,,,,
97,pt-evora-redondo,Évora,Redondo,not_started,0,16,0,,,,
98,pt-evora-reguengos-de-monsaraz,Évora,Reguengos de Monsaraz,not_started,0,16,0,,,,
99,pt-evora-vendas-novas,Évora,Vendas Novas,not_started,0,16,0,,,,
100,pt-evora-viana-do-alentejo,Évora,Viana do Alentejo,not_started,0,16,0,,,,
101,pt-evora-vila-vicosa,Évora,Vila Viçosa,not_started,0,16,0,,,,
102,pt-faro-albufeira,Faro,Albufeira,not_started,0,16,0,,,,
103,pt-faro-alcoutim,Faro,Alcoutim,not_started,0,16,0,,,,
104,pt-faro-aljezur,Faro,Aljezur,not_started,0,16,0,,,,
105,pt-faro-castro-marim,Faro,Castro Marim,not_started,0,16,0,,,,
106,pt-faro-faro,Faro,Faro,not_started,0,16,0,,,,
107,pt-faro-lagoa,Faro,Lagoa,not_started,0,16,0,,,,
108,pt-faro-lagos,Faro,Lagos,not_started,0,16,0,,,,
109,pt-faro-loule,Faro,Loulé,not_started,0,16,0,,,,
110,pt-faro-monchique,Faro,Monchique,not_started,0,16,0,,,,
111,pt-faro-olhao,Faro,Olhão,not_started,0,16,0,,,,
112,pt-faro-portimao,Faro,Portimão,not_started,0,16,0,,,,
113,pt-faro-sao-bras-de-alportel,Faro,São Brás de Alportel,not_started,0,16,0,,,,
114,pt-faro-silves,Faro,Silves,not_started,0,16,0,,,,
115,pt-faro-tavira,Faro,Tavira,not_started,0,16,0,,,,
116,pt-faro-vila-do-bispo,Faro,Vila do Bispo,not_started,0,16,0,,,,
117,pt-faro-vila-real-de-santo-antonio,Faro,Vila Real de Santo António,not_started,0,16,0,,,,
118,pt-guarda-aguiar-da-beira,Guarda,Aguiar da Beira,not_started,0,16,0,,,,
119,pt-guarda-almeida,Guarda,Almeida,not_started,0,16,0,,,,
120,pt-guarda-celorico-da-beira,Guarda,Celorico da Beira,not_started,0,16,0,,,,
121,pt-guarda-figueira-de-castelo-rodrigo,Guarda,Figueira de Castelo Rodrigo,not_started,0,16,0,,,,
122,pt-guarda-fornos-de-algodres,Guarda,Fornos de Algodres,not_started,0,16,0,,,,
123,pt-guarda-gouveia,Guarda,Gouveia,not_started,0,16,0,,,,
124,pt-guarda-guarda,Guarda,Guarda,not_started,0,16,0,,,,
125,pt-guarda-manteigas,Guarda,Manteigas,not_started,0,16,0,,,,
126,pt-guarda-meda,Guarda,Mêda,not_started,0,16,0,,,,
127,pt-guarda-pinhel,Guarda,Pinhel,not_started,0,16,0,,,,
128,pt-guarda-sabugal,Guarda,Sabugal,not_started,0,16,0,,,,
129,pt-guarda-seia,Guarda,Seia,not_started,0,16,0,,,,
130,pt-guarda-trancoso,Guarda,Trancoso,not_started,0,16,0,,,,
131,pt-guarda-vila-nova-de-foz-coa,Guarda,Vila Nova de Foz Côa,not_started,0,16,0,,,,
132,pt-leiria-alcobaca,Leiria,Alcobaça,not_started,0,16,0,,,,
133,pt-leiria-alvaiazere,Leiria,Alvaiázere,not_started,0,16,0,,,,
134,pt-leiria-ansiao,Leiria,Ansião,not_started,0,16,0,,,,
135,pt-leiria-batalha,Leiria,Batalha,not_started,0,16,0,,,,
136,pt-leiria-bombarral,Leiria,Bombarral,not_started,0,16,0,,,,
137,pt-leiria-caldas-da-rainha,Leiria,Caldas da Rainha,not_started,0,16,0,,,,
138,pt-leiria-castanheira-de-pera,Leiria,Castanheira de Pera,not_started,0,16,0,,,,
139,pt-leiria-figueiro-dos-vinhos,Leiria,Figueiró dos Vinhos,not_started,0,16,0,,,,
140,pt-leiria-leiria,Leiria,Leiria,not_started,0,16,0,,,,
141,pt-leiria-marinha-grande,Leiria,Marinha Grande,not_started,0,16,0,,,,
142,pt-leiria-nazare,Leiria,Nazaré,not_started,0,16,0,,,,
143,pt-leiria-obidos,Leiria,Óbidos,not_started,0,16,0,,,,
144,pt-leiria-pedrogao-grande,Leiria,Pedrógão Grande,not_started,0,16,0,,,,
145,pt-leiria-peniche,Leiria,Peniche,not_started,0,16,0,,,,
146,pt-leiria-pombal,Leiria,Pombal,not_started,0,16,0,,,,
147,pt-leiria-porto-de-mos,Leiria,Porto de Mós,not_started,0,16,0,,,,
148,pt-lisboa-alenquer,Lisboa,Alenquer,not_started,0,16,0,,,,
149,pt-lisboa-amadora,Lisboa,Amadora,not_started,0,16,0,,,,
150,pt-lisboa-arruda-dos-vinhos,Lisboa,Arruda dos Vinhos,not_started,0,16,0,,,,
151,pt-lisboa-azambuja,Lisboa,Azambuja,not_started,0,16,0,,,,
152,pt-lisboa-cadaval,Lisboa,Cadaval,not_started,0,16,0,,,,
153,pt-lisboa-cascais,Lisboa,Cascais,not_started,0,16,0,,,,
154,pt-lisboa-lisboa,Lisboa,Lisboa,not_started,0,16,0,,,,
155,pt-lisboa-loures,Lisboa,Loures,not_started,0,16,0,,,,
156,pt-lisboa-lourinha,Lisboa,Lourinhã,not_started,0,16,0,,,,
157,pt-lisboa-mafra,Lisboa,Mafra,not_started,0,16,0,,,,
158,pt-lisboa-odivelas,Lisboa,Odivelas,not_started,0,16,0,,,,
159,pt-lisboa-oeiras,Lisboa,Oeiras,not_started,0,16,0,,,,
160,pt-lisboa-sintra,Lisboa,Sintra,not_started,0,16,0,,,,
161,pt-lisboa-sobral-de-monte-agraco,Lisboa,Sobral de Monte Agraço,not_started,0,16,0,,,,
162,pt-lisboa-torres-vedras,Lisboa,Torres Vedras,not_started,0,16,0,,,,
163,pt-lisboa-vila-franca-de-xira,Lisboa,Vila Franca de Xira,not_started,0,16,0,,,,
164,pt-portalegre-alter-do-chao,Portalegre,Alter do Chão,not_started,0,16,0,,,,
165,pt-portalegre-arronches,Portalegre,Arronches,not_started,0,16,0,,,,
166,pt-portalegre-avis,Portalegre,Avis,not_started,0,16,0,,,,
167,pt-portalegre-campo-maior,Portalegre,Campo Maior,not_started,0,16,0,,,,
168,pt-portalegre-castelo-de-vide,Portalegre,Castelo de Vide,not_started,0,16,0,,,,
169,pt-portalegre-crato,Portalegre,Crato,not_started,0,16,0,,,,
170,pt-portalegre-elvas,Portalegre,Elvas,not_started,0,16,0,,,,
171,pt-portalegre-fronteira,Portalegre,Fronteira,not_started,0,16,0,,,,
172,pt-portalegre-gaviao,Portalegre,Gavião,not_started,0,16,0,,,,
173,pt-portalegre-marvao,Portalegre,Marvão,not_started,0,16,0,,,,
174,pt-portalegre-monforte,Portalegre,Monforte,not_started,0,16,0,,,,
175,pt-portalegre-nisa,Portalegre,Nisa,not_started,0,16,0,,,,
176,pt-portalegre-ponte-de-sor,Portalegre,Ponte de Sor,not_started,0,16,0,,,,
177,pt-portalegre-portalegre,Portalegre,Portalegre,not_started,0,16,0,,,,
178,pt-portalegre-sousel,Portalegre,Sousel,not_started,0,16,0,,,,
179,pt-porto-amarante,Porto,Amarante,not_started,0,16,0,,,,
180,pt-porto-baiao,Porto,Baião,not_started,0,16,0,,,,
181,pt-porto-felgueiras,Porto,Felgueiras,not_started,0,16,0,,,,
182,pt-porto-gondomar,Porto,Gondomar,not_started,0,16,0,,,,
183,pt-porto-lousada,Porto,Lousada,not_started,0,16,0,,,,
184,pt-porto-maia,Porto,Maia,not_started,0,16,0,,,,
185,pt-porto-marco-de-canaveses,Porto,Marco de Canaveses,not_started,0,16,0,,,,
186,pt-porto-matosinhos,Porto,Matosinhos,not_started,0,16,0,,,,
187,pt-porto-pacos-de-ferreira,Porto,Paços de Ferreira,not_started,0,16,0,,,,
188,pt-porto-paredes,Porto,Paredes,not_started,0,16,0,,,,
189,pt-porto-penafiel,Porto,Penafiel,not_started,0,16,0,,,,
190,pt-porto-porto,Porto,Porto,not_started,0,16,0,,,,
191,pt-porto-povoa-de-varzim,Porto,Póvoa de Varzim,not_started,0,16,0,,,,
192,pt-porto-santo-tirso,Porto,Santo Tirso,not_started,0,16,0,,,,
193,pt-porto-trofa,Porto,Trofa,not_started,0,16,0,,,,
194,pt-porto-valongo,Porto,Valongo,not_started,0,16,0,,,,
195,pt-porto-vila-do-conde,Porto,Vila do Conde,not_started,0,16,0,,,,
196,pt-porto-vila-nova-de-gaia,Porto,Vila Nova de Gaia,not_started,0,16,0,,,,
197,pt-santarem-abrantes,Santarém,Abrantes,not_started,0,16,0,,,,
198,pt-santarem-alcanena,Santarém,Alcanena,not_started,0,16,0,,,,
199,pt-santarem-almeirim,Santarém,Almeirim,not_started,0,16,0,,,,
200,pt-santarem-alpiarca,Santarém,Alpiarça,not_started,0,16,0,,,,
201,pt-santarem-benavente,Santarém,Benavente,not_started,0,16,0,,,,
202,pt-santarem-cartaxo,Santarém,Cartaxo,not_started,0,16,0,,,,
203,pt-santarem-chamusca,Santarém,Chamusca,not_started,0,16,0,,,,
204,pt-santarem-constancia,Santarém,Constância,not_started,0,16,0,,,,
205,pt-santarem-coruche,Santarém,Coruche,not_started,0,16,0,,,,
206,pt-santarem-entroncamento,Santarém,Entroncamento,not_started,0,16,0,,,,
207,pt-santarem-ferreira-do-zezere,Santarém,Ferreira do Zêzere,not_started,0,16,0,,,,
208,pt-santarem-golega,Santarém,Golegã,not_started,0,16,0,,,,
209,pt-santarem-macao,Santarém,Mação,not_started,0,16,0,,,,
210,pt-santarem-ourem,Santarém,Ourém,not_started,0,16,0,,,,
211,pt-santarem-rio-maior,Santarém,Rio Maior,not_started,0,16,0,,,,
212,pt-santarem-salvaterra-de-magos,Santarém,Salvaterra de Magos,not_started,0,16,0,,,,
213,pt-santarem-santarem,Santarém,Santarém,not_started,0,16,0,,,,
214,pt-santarem-sardoal,Santarém,Sardoal,not_started,0,16,0,,,,
215,pt-santarem-tomar,Santarém,Tomar,not_started,0,16,0,,,,
216,pt-santarem-torres-novas,Santarém,Torres Novas,not_started,0,16,0,,,,
217,pt-santarem-vila-nova-da-barquinha,Santarém,Vila Nova da Barquinha,not_started,0,16,0,,,,
218,pt-setubal-alcacer-do-sal,Setúbal,Alcácer do Sal,not_started,0,16,0,,,,
219,pt-setubal-alcochete,Setúbal,Alcochete,not_started,0,16,0,,,,
220,pt-setubal-almada,Setúbal,Almada,not_started,0,16,0,,,,
221,pt-setubal-barreiro,Setúbal,Barreiro,not_started,0,16,0,,,,
222,pt-setubal-grandola,Setúbal,Grândola,not_started,0,16,0,,,,
223,pt-setubal-moita,Setúbal,Moita,not_started,0,16,0,,,,
224,pt-setubal-montijo,Setúbal,Montijo,not_started,0,16,0,,,,
225,pt-setubal-palmela,Setúbal,Palmela,not_started,0,16,0,,,,
226,pt-setubal-santiago-do-cacem,Setúbal,Santiago do Cacém,not_started,0,16,0,,,,
227,pt-setubal-seixal,Setúbal,Seixal,not_started,0,16,0,,,,
228,pt-setubal-sesimbra,Setúbal,Sesimbra,not_started,0,16,0,,,,
229,pt-setubal-setubal,Setúbal,Setúbal,not_started,0,16,0,,,,
230,pt-setubal-sines,Setúbal,Sines,not_started,0,16,0,,,,
231,pt-viana-do-castelo-arcos-de-valdevez,Viana do Castelo,Arcos de Valdevez,not_started,0,16,0,,,,
232,pt-viana-do-castelo-caminha,Viana do Castelo,Caminha,not_started,0,16,0,,,,
233,pt-viana-do-castelo-melgaco,Viana do Castelo,Melgaço,not_started,0,16,0,,,,
234,pt-viana-do-castelo-moncao,Viana do Castelo,Monção,not_started,0,16,0,,,,
235,pt-viana-do-castelo-paredes-de-coura,Viana do Castelo,Paredes de Coura,not_started,0,16,0,,,,
236,pt-viana-do-castelo-ponte-da-barca,Viana do Castelo,Ponte da Barca,not_started,0,16,0,,,,
237,pt-viana-do-castelo-ponte-de-lima,Viana do Castelo,Ponte de Lima,not_started,0,16,0,,,,
238,pt-viana-do-castelo-valenca,Viana do Castelo,Valença,not_started,0,16,0,,,,
239,pt-viana-do-castelo-viana-do-castelo,Viana do Castelo,Viana do Castelo,not_started,0,16,0,,,,
240,pt-viana-do-castelo-vila-nova-de-cerveira,Viana do Castelo,Vila Nova de Cerveira,not_started,0,16,0,,,,
241,pt-vila-real-alijo,Vila Real,Alijó,not_started,0,16,0,,,,
242,pt-vila-real-boticas,Vila Real,Boticas,not_started,0,16,0,,,,
243,pt-vila-real-chaves,Vila Real,Chaves,not_started,0,16,0,,,,
244,pt-vila-real-mesao-frio,Vila Real,Mesão Frio,not_started,0,16,0,,,,
245,pt-vila-real-mondim-de-basto,Vila Real,Mondim de Basto,not_started,0,16,0,,,,
246,pt-vila-real-montalegre,Vila Real,Montalegre,not_started,0,16,0,,,,
247,pt-vila-real-murca,Vila Real,Murça,not_started,0,16,0,,,,
248,pt-vila-real-peso-da-regua,Vila Real,Peso da Régua,not_started,0,16,0,,,,
249,pt-vila-real-ribeira-de-pena,Vila Real,Ribeira de Pena,not_started,0,16,0,,,,
250,pt-vila-real-sabrosa,Vila Real,Sabrosa,not_started,0,16,0,,,,
251,pt-vila-real-santa-marta-de-penaguiao,Vila Real,Santa Marta de Penaguião,not_started,0,16,0,,,,
252,pt-vila-real-valpacos,Vila Real,Valpaços,not_started,0,16,0,,,,
253,pt-vila-real-vila-pouca-de-aguiar,Vila Real,Vila Pouca de Aguiar,not_started,0,16,0,,,,
254,pt-vila-real-vila-real,Vila Real,Vila Real,not_started,0,16,0,,,,
255,pt-viseu-armamar,Viseu,Armamar,not_started,0,16,0,,,,
256,pt-viseu-carregal-do-sal,Viseu,Carregal do Sal,not_started,0,16,0,,,,
257,pt-viseu-castro-daire,Viseu,Castro Daire,not_started,0,16,0,,,,
258,pt-viseu-cinfaes,Viseu,Cinfães,not_started,0,16,0,,,,
259,pt-viseu-lamego,Viseu,Lamego,not_started,0,16,0,,,,
260,pt-viseu-mangualde,Viseu,Mangualde,not_started,0,16,0,,,,
261,pt-viseu-moimenta-da-beira,Viseu,Moimenta da Beira,not_started,0,16,0,,,,
262,pt-viseu-mortagua,Viseu,Mortágua,not_started,0,16,0,,,,
263,pt-viseu-nelas,Viseu,Nelas,not_started,0,16,0,,,,
264,pt-viseu-oliveira-de-frades,Viseu,Oliveira de Frades,not_started,0,16,0,,,,
265,pt-viseu-penalva-do-castelo,Viseu,Penalva do Castelo,not_started,0,16,0,,,,
266,pt-viseu-penedono,Viseu,Penedono,not_started,0,16,0,,,,
267,pt-viseu-resende,Viseu,Resende,not_started,0,16,0,,,,
268,pt-viseu-santa-comba-dao,Viseu,Santa Comba Dão,not_started,0,16,0,,,,
269,pt-viseu-sao-joao-da-pesqueira,Viseu,São João da Pesqueira,not_started,0,16,0,,,,
270,pt-viseu-sao-pedro-do-sul,Viseu,São Pedro do Sul,not_started,0,16,0,,,,
271,pt-viseu-satao,Viseu,Sátão,not_started,0,16,0,,,,
272,pt-viseu-sernancelhe,Viseu,Sernancelhe,not_started,0,16,0,,,,
273,pt-viseu-tabuaco,Viseu,Tabuaço,not_started,0,16,0,,,,
274,pt-viseu-tarouca,Viseu,Tarouca,not_started,0,16,0,,,,
275,pt-viseu-tondela,Viseu,Tondela,not_started,0,16,0,,,,
276,pt-viseu-vila-nova-de-paiva,Viseu,Vila Nova de Paiva,not_started,0,16,0,,,,
277,pt-viseu-viseu,Viseu,Viseu,not_started,0,16,0,,,,
278,pt-viseu-vouzela,Viseu,Vouzela,not_started,0,16,0,,,,
279,pt-acores-angra-do-heroismo,Açores,Angra do Heroísmo,not_started,0,16,0,,,,
280,pt-acores-calheta,Açores,Calheta,not_started,0,16,0,,,,
281,pt-acores-corvo,Açores,Corvo,not_started,0,16,0,,,,
282,pt-acores-horta,Açores,Horta,not_started,0,16,0,,,,
283,pt-acores-lagoa,Açores,Lagoa,not_started,0,16,0,,,,
284,pt-acores-lajes-das-flores,Açores,Lajes das Flores,not_started,0,16,0,,,,
285,pt-acores-lajes-do-pico,Açores,Lajes do Pico,not_started,0,16,0,,,,
286,pt-acores-madalena,Açores,Madalena,not_started,0,16,0,,,,
287,pt-acores-nordeste,Açores,Nordeste,not_started,0,16,0,,,,
288,pt-acores-ponta-delgada,Açores,Ponta Delgada,not_started,0,16,0,,,,
289,pt-acores-povoacao,Açores,Povoação,not_started,0,16,0,,,,
290,pt-acores-praia-da-vitoria,Açores,Praia da Vitória,not_started,0,16,0,,,,
291,pt-acores-ribeira-grande,Açores,Ribeira Grande,not_started,0,16,0,,,,
292,pt-acores-santa-cruz-da-graciosa,Açores,Santa Cruz da Graciosa,not_started,0,16,0,,,,
293,pt-acores-santa-cruz-das-flores,Açores,Santa Cruz das Flores,not_started,0,16,0,,,,
294,pt-acores-sao-roque-do-pico,Açores,São Roque do Pico,not_started,0,16,0,,,,
295,pt-acores-velas,Açores,Velas,not_started,0,16,0,,,,
296,pt-acores-vila-do-porto,Açores,Vila do Porto,not_started,0,16,0,,,,
297,pt-acores-vila-franca-do-campo,Açores,Vila Franca do Campo,not_started,0,16,0,,,,
298,pt-madeira-calheta,Madeira,Calheta,not_started,0,16,0,,,,
299,pt-madeira-camara-de-lobos,Madeira,Câmara de Lobos,not_started,0,16,0,,,,
300,pt-madeira-funchal,Madeira,Funchal,not_started,0,16,0,,,,
301,pt-madeira-machico,Madeira,Machico,not_started,0,16,0,,,,
302,pt-madeira-ponta-do-sol,Madeira,Ponta do Sol,not_started,0,16,0,,,,
303,pt-madeira-porto-moniz,Madeira,Porto Moniz,not_started,0,16,0,,,,
304,pt-madeira-porto-santo,Madeira,Porto Santo,not_started,0,16,0,,,,
305,pt-madeira-ribeira-brava,Madeira,Ribeira Brava,not_started,0,16,0,,,,
